2026-04-12T17:35:13.218395+00:00 | You Shook Me All Night Long | Ac/Dc | source:amperwave-api
2026-04-12T17:36:04.704773+00:00 | You Shook Me All Night Long | Ac/Dc | source:amperwave-api
2026-04-12T17:36:39.164372+00:00 | You Shook Me All Night Long | Ac/Dc | source:amperwave-api
2026-04-12T17:37:13.292820+00:00 | You Shook Me All Night Long | Ac/Dc | source:amperwave-api
2026-04-12T17:37:49.606956+00:00 | You Shook Me All Night Long | Ac/Dc | source:amperwave-api
2026-04-12T17:38:23.468959+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:39:19.797026+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:39:53.850031+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:40:49.438209+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:41:23.512541+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:41:58.296488+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:42:31.797187+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:43:05.828718+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:43:39.874069+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:44:14.624536+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:44:48.505252+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:45:22.536412+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:45:58.110674+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:46:34.199592+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:47:10.015523+00:00 | Hold On Loosely | .38 Special | source:amperwave-api
2026-04-12T17:47:44.877259+00:00 | Rock And Roll | Led Zeppelin | source:amperwave-api
2026-04-12T17:48:19.783780+00:00 | Rock And Roll | Led Zeppelin | source:amperwave-api
2026-04-12T17:48:55.074607+00:00 | Rock And Roll | Led Zeppelin | source:amperwave-api
2026-04-12T17:49:29.927537+00:00 | Rock And Roll | Led Zeppelin | source:amperwave-api
2026-04-12T17:50:04.167448+00:00 | Rock And Roll | Led Zeppelin | source:amperwave-api
2026-04-12T17:51:01.097215+00:00 | Rock And Roll | Led Zeppelin | source:amperwave-api
2026-04-12T17:51:35.239345+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T17:52:35.507660+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T17:53:09.568225+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T17:53:43.287069+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T17:54:17.060266+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T17:54:50.944395+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T17:55:51.328214+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T17:56:25.869876+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T17:56:59.700841+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T17:57:36.442327+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T17:58:11.756564+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T17:58:46.266047+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T17:59:26.109576+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T18:00:00.551463+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T18:00:34.608997+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T18:01:09.031598+00:00 | Mony Mony | Billy Idol | source:amperwave-api
2026-04-12T18:01:43.048795+00:00 | I Cant Drive 55 | Sammy Hagar | source:amperwave-api
2026-04-12T18:02:17.523511+00:00 | I Cant Drive 55 | Sammy Hagar | source:amperwave-api
